listing_id,listing_name,listing_type,room_type,host_id,host_name,has_cohost,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,avg_vacant_days_cal,avg_reserved_days_cal,avg_occupancy_cal,tot_revenue_cal,rate_avg_cal,booked_rate_avg_cal,length_of_stay_avg_cal,min_nights_avg_cal,avg_native_revenue_cal,avg_vacant_days_pastCal,avg_reserved_days_pastCal,avg_occupancy_pastCal,tot_revenue_pastCal,rate_avg_pastCal,booked_rate_avg_pastCal,length_of_stay_avg_pastCal,min_nights_avg_pastCal,avg_native_revenue_pastCal,total_reviews
464579,Stunning 2 bedroom Riverside Apartment,Entire rental unit,entire_home,2308769,Craig & Sarah,0,False,51.4818,-0.0127,6.0,2.0,3.0,2.0,False,"TV,Wifi,Waterfront,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Conditioner,Elevator,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Sound system,Bathtub,High chair,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Toaster",True,4,Strict,GBP,139.15714285714284,3.1384615384615384,123,4.73,4.8,4.8,4.5,4.9,4.9,4.7,18791.0,14651.0,433.7,338.9,0.1,0.1,51.5,40.1,51.9,40.5,43,3,322,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.142857142857142,6.142857142857143,0.20014285714285715,18791.0,433.6857142857143,436.65,10.0,4.0,2092.1428571428573,2.0
464922,Lovely home-excellent location-Z2,Private room in home,private_room,2249322,Theresa,0,True,51.461,-0.0196,1.0,1.0,1.0,0.0,False,"Wifi,Paid parking off premises,Hot water,Body soap,Breakfast,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Clothing storage,Smoke alarm,Shower gel,Carbon monoxide alarm,Backyard,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",False,1,Flexible,GBP,0.0,0.0,216,4.91,4.9,5.0,4.9,5.0,4.8,4.9,11439.0,8806.0,51.6,39.9,0.6,0.0,31.3,24.1,0.0,0.0,221,0,144,365,2955.0,2203.0,53.8,40.1,0.6,0.0,32.8,24.5,0.0,0.0,55,0,35,90,30.416666666666668,0.0,0.0,0.0,55.833333333333336,0.0,0.0,1.0,0.0,12.0,18.416666666666668,0.604,11439.0,51.61666666666667,51.60833333333333,2.9166666666666665,1.0,734.0,30.0
465361,ATTRACTIVE FLAT WITH ROOMS 4 RENTAL,Private room in rental unit,private_room,761655,Adriana,0,False,51.4592,-0.1197,2.0,1.0,1.0,0.0,False,"TV,Smoke alarm,Wifi,First aid kit,Kitchen,Heating",False,7,Strict,GBP,20.0,0.0,14,4.5,4.9,5.0,4.9,4.4,4.9,4.8,1499.0,1135.0,36.9,28.5,0.1,0.0,4.1,3.1,0.0,0.0,40,0,325,365,1031.0,768.0,38.1,28.5,0.3,0.0,11.5,8.5,0.0,0.0,27,0,63,90,30.25,0.16666666666666666,0.005416666666666667,80.0,38.56666666666667,40.0,0.0,7.0,4.916666666666667,27.083333333333332,3.3333333333333335,0.10833333333333334,1499.0,36.94166666666667,37.36666666666667,11.333333333333334,7.0,94.58333333333333,0.0
465435,En-suite room in modern 2 bed flat,Private room in rental unit,private_room,2311270,Simon,0,True,51.4905,-0.1116,2.0,1.0,1.0,0.0,False,"Wifi,Kitchen,Portable fans,Smoking allowed,Hot water,Conditioner,Elevator,Bed linens,Extra pillows and blankets,Pocket wifi,Outdoor furniture,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Single level home,Smoke alarm,Shower gel,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Sound system",False,2,Moderate,GBP,34.0,0.0,229,4.91,4.9,5.0,4.9,5.0,4.7,4.8,10218.0,8077.0,98.6,76.2,0.3,0.6,28.0,22.1,53.5,42.3,106,174,259,365,0.0,0.0,105.3,78.7,0.0,0.0,0.0,0.0,0.0,0.0,0,87,90,90,25.0,5.416666666666667,0.17841666666666667,6656.0,104.25,103.25,4.5,2.0,412.4166666666667,21.583333333333332,8.833333333333334,0.295,10218.0,98.58333333333333,96.55,15.666666666666666,11.714285714285714,673.1666666666666,3.0
469187,Double bedroom overlooking garden,Private room in rental unit,private_room,1952786,Anne,0,True,51.4754,-0.1643,1.0,1.0,1.0,0.0,False,"TV,Wifi,Lake access,Kitchen,Hot water kettle,Paid parking off premises,Conditioner,Mini fridge,Laundromat nearby,Outdoor furniture,Cleaning products,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Bathtub,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Toaster",True,1,Flexible,GBP,0.0,0.0,532,4.83,4.9,4.9,4.8,5.0,4.9,4.8,27485.0,21134.0,135.2,104.4,0.5,0.0,75.3,57.9,0.0,0.0,200,0,165,365,8608.0,6433.0,153.8,114.8,0.6,0.0,95.6,71.5,0.0,0.0,56,0,34,90,28.583333333333332,1.8333333333333333,0.0605,3476.0,136.875,155.35,8.0,1.0,215.41666666666666,13.75,16.666666666666668,0.5461666666666667,27485.0,135.25,135.60833333333332,2.0833333333333335,1.0,1760.8333333333333,49.0
469189,Stylish 2-bedroom garden flat with antique charm,Entire condo,entire_home,1952786,Anne,0,True,51.475,-0.1624,3.0,2.0,3.0,1.0,False,"TV,Wifi,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Conditioner,Mini fridge,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Bathtub,Children’s books and toys,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Dining table,Toaster",False,1,Firm,GBP,13.0,0.0,47,4.79,4.8,4.9,4.6,5.0,4.9,4.7,82763.0,63477.0,376.3,290.9,0.6,0.7,226.7,173.9,265.3,203.5,222,53,143,365,27924.0,20856.0,376.9,281.4,0.8,0.0,310.3,231.7,0.0,0.0,74,0,16,90,29.75,0.6666666666666666,0.022000000000000002,2609.0,339.2083333333333,330.075,2.0,1.0,161.75,11.916666666666666,18.5,0.60725,82763.0,376.5,375.23636363636365,3.909090909090909,1.0,5288.916666666667,8.0
472185,Double Room in lovely family home,Private room in home,private_room,2341641,Eric,0,True,51.5531,0.0093,1.0,2.0,1.0,0.0,False,"TV,Cable TV,Wifi,Kitchen,Room-darkening shades,Hot water kettle,Paid parking off premises,Smoking allowed,Hot water,Body soap,Record player,Breakfast,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Smoke alarm,Shower gel,Carbon monoxide alarm,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Toaster",False,2,Strict,GBP,0.0,13.0,139,4.97,5.0,5.0,5.0,5.0,4.8,5.0,12149.0,9263.0,60.2,46.4,0.6,0.6,33.3,25.4,36.2,27.6,201,29,164,365,4334.0,3233.0,68.2,50.9,0.7,0.0,48.2,35.9,0.0,0.0,63,0,27,90,16.916666666666668,13.5,0.4409166666666667,11136.0,68.21666666666667,68.47142857142858,31.0,2.0,690.0,13.666666666666666,16.75,0.548,12149.0,60.166666666666664,60.39090909090908,4.6,1.875,772.5,22.0
477286,LOVELY 2 Bed Apartment,Entire condo,entire_home,1616720,Anna,1,True,51.5352,-0.2032,6.0,2.0,3.0,1.0,False,"TV,Cable TV,Wifi,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Pets allowed,Resort access,Conditioner,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Bathtub,Baby bath,High chair,Children’s books and toys,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,Single level home,Shower gel,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Toaster",False,1,Firm,GBP,195.0,0.0,101,4.61,4.8,4.9,4.7,4.9,4.7,4.4,35266.0,27639.0,363.6,280.1,0.3,0.4,96.6,75.7,112.0,87.7,111,50,254,365,2159.0,1614.0,434.2,324.1,0.1,0.1,24.0,17.9,49.1,36.7,5,46,85,90,27.583333333333332,2.8333333333333335,0.09283333333333334,12068.0,375.68333333333334,366.5,5.666666666666667,3.0,747.75,21.166666666666668,9.25,0.3084166666666667,35266.0,362.94166666666666,345.49,8.625,1.5714285714285714,2303.0833333333335,4.0
481999,Comfortable room to stay in London.,Private room in home,private_room,2354821,Monique,0,True,51.4037,-0.0926,1.0,1.0,1.0,0.0,False,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Hot water,Body soap,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Laundromat nearby,Outdoor furniture,Microwave,Cleaning products,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Baking sheet,Freezer,Private entrance,Toaster",False,1,Strict,GBP,27.0,33.0,39,4.95,4.9,5.0,4.9,5.0,4.7,5.0,6354.0,4853.0,50.7,39.1,0.3,0.4,17.4,13.3,19.6,14.9,126,40,239,365,2887.0,2156.0,59.8,44.6,0.6,0.7,32.1,24.0,35.2,26.3,54,8,36,90,30.416666666666668,0.0,0.0,0.0,57.44166666666666,0.0,0.0,1.0,0.0,19.916666666666668,10.5,0.34325,6354.0,50.64166666666667,51.557142857142864,7.0,1.0,404.5,6.0
483400,"Spacious Room in Limehouse, near QMUL",Private room in rental unit,private_room,2392896,Emilio,0,False,51.516,-0.0368,1.0,1.0,2.0,0.0,False,"Wifi,Kitchen,Room-darkening shades,Hot water kettle,Hot water,Elevator,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Oven,Clothing storage,Washer,Dryer,Single level home,Smoke alarm,Shower gel,Backyard,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Dining table,Iron,Dedicated workspace,Bathtub",False,4,Firm,GBP,0.0,32.0,7,4.86,4.7,5.0,4.9,5.0,4.7,4.6,7008.0,5371.0,91.0,70.3,0.2,0.2,19.2,14.7,22.6,17.3,76,55,289,365,0.0,0.0,91.7,68.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,30.416666666666668,0.0,0.0,0.0,92.33333333333333,0.0,0.0,3.0,0.0,24.083333333333332,6.333333333333333,0.207,7008.0,90.925,92.2,20.0,3.0,447.5,1.0
